time_passed,force_0,force_1,force_2,force_3
0.004,0.384765625,0.20703125,0.431640625,0.675750732422
0.004,0.40625,0.185546875,0.376953125,0.642547607422
0.004,0.365234375,0.185546875,0.44140625,0.642547607422
0.004,0.37890625,0.056640625,0.458984375,0.679656982422
0.004,0.44140625,0.15234375,0.5,0.699188232422
0.004,0.3984375,0.2578125,0.455078125,0.673797607422
0.004,0.34765625,0.123046875,0.419921875,0.656219482422
0.004,0.361328125,0.10546875,0.45703125,0.687469482422
0.004,0.43359375,0.291015625,0.474609375,0.687469482422
0.004,0.369140625,0.177734375,0.46484375,0.640594482422
0.004,0.380859375,0.076171875,0.427734375,0.687469482422
0.004,0.439453125,0.13671875,0.474609375,0.712860107422
0.004,0.40625,0.248046875,0.4609375,0.667938232422
0.004,0.361328125,0.16796875,0.42578125,0.642547607422
0.004,0.361328125,0.05859375,0.470703125,0.673797607422
0.004,0.3828125,0.224609375,0.4921875,0.695281982422
0.004,0.390625,0.158203125,0.455078125,0.677703857422
0.004,0.390625,0.169921875,0.455078125,0.677703857422
0.004,0.390625,0.162109375,0.455078125,0.677703857422
0.004,0.390625,0.17578125,0.455078125,0.677703857422
0.004,0.42578125,0.17578125,0.455078125,0.677703857422
0.004,0.396484375,0.189453125,0.455078125,0.677703857422
0.004,0.412109375,0.15625,0.46484375,0.677703857422
0.004,0.396484375,0.18359375,0.490234375,0.708953857422
0.004,0.4140625,0.169921875,0.482421875,0.685516357422
0.004,0.4140625,0.283203125,0.5,0.685516357422
0.004,0.45703125,0.185546875,0.544891357422,0.685516357422
0.004,0.40234375,0.2578125,0.4609375,0.685516357422
0.004,0.3515625,0.130859375,0.431640625,0.648406982422
0.004,0.36328125,0.09765625,0.4609375,0.683563232422
0.004,0.4296875,0.298828125,0.474609375,0.683563232422
0.004,0.373046875,0.185546875,0.462890625,0.644500732422
0.004,0.380859375,0.083984375,0.419921875,0.685516357422
0.004,0.43359375,0.13671875,0.46875,0.714813232422
0.004,0.408203125,0.255859375,0.46875,0.673797607422
0.004,0.36328125,0.169921875,0.421875,0.642547607422
0.004,0.36328125,0.052734375,0.47265625,0.671844482422
0.004,0.423828125,0.212890625,0.5,0.693328857422
0.004,0.388671875,0.234375,0.4609375,0.662078857422
0.004,0.36328125,0.0859375,0.416015625,0.675750732422
0.004,0.3984375,0.1328125,0.453125,0.708953857422
0.004,0.3984375,0.166015625,0.46484375,0.679656982422
0.004,0.3984375,0.166015625,0.45703125,0.671844482422
0.004,0.3984375,0.166015625,0.45703125,0.671844482422
0.004,0.3984375,0.166015625,0.45703125,0.671844482422
0.004,0.3984375,0.14453125,0.447265625,0.671844482422
0.004,0.388671875,0.1875,0.484375,0.689422607422
0.004,0.44140625,0.15234375,0.455078125,0.671844482422
0.004,0.38671875,0.134765625,0.455078125,0.687469482422
0.004,0.412109375,0.169921875,0.455078125,0.673797607422
0.004,0.294921875,0.341796875,0.30859375,0.695281982422
0.004,0.349609375,0.091796875,0.4140625,0.669891357422
0.004,0.421875,0.28125,0.462890625,0.679656982422
0.004,0.376953125,0.19140625,0.462890625,0.644500732422
0.004,0.376953125,0.087890625,0.412109375,0.677703857422
0.004,0.431640625,0.134765625,0.470703125,0.712860107422
0.004,0.41015625,0.267578125,0.470703125,0.671844482422
0.004,0.3671875,0.169921875,0.42578125,0.644500732422
0.004,0.3671875,0.044921875,0.474609375,0.675750732422
